               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.0874,               5.033,              1.5332,                   0,                   0,                   0,                   0,              1.8786,              4.9098,               1.228,              0.0973,              0.0003,              0.0003
                   1,              1.8137,              4.8304,              1.3312,                   0,                   0,                   0,                   0,              1.8086,               4.493,              1.2278,            0.093672,          0.00067228,          0.00067228
                   2,              1.8505,               4.188,              1.3247,             0.13493,             0.24908,             0.10673,            0.062917,                1.76,              3.4106,              1.2744,            0.090013,           0.0010129,           0.0010129
                   3,               1.709,              3.0876,              1.2494,             0.29691,             0.28828,             0.24249,             0.13505,              1.7287,              2.2521,              1.2924,            0.086322,           0.0013218,           0.0013218
                   4,               1.586,              2.4451,              1.2337,             0.24982,             0.39341,              0.2998,             0.16331,              1.7194,              2.0307,              1.2996,            0.082599,            0.001599,            0.001599
                   5,              1.5219,              2.2752,              1.1981,             0.47671,             0.32491,             0.34975,             0.18481,              1.6498,              1.6928,               1.268,            0.078845,           0.0018446,           0.0018446
                   6,              1.3778,              1.9221,                1.14,             0.48399,             0.39698,             0.41453,             0.20697,              1.6764,              1.6528,              1.2657,            0.075058,           0.0020585,           0.0020585
                   7,              1.6366,              2.1699,              1.2405,              0.7913,             0.33737,             0.44293,             0.23428,              1.5607,              1.5096,               1.208,            0.071241,           0.0022407,           0.0022407
                   8,              1.4179,               1.718,              1.1077,             0.46736,             0.47989,             0.51451,             0.29252,              1.5593,               1.515,              1.1891,            0.067391,           0.0023912,           0.0023912
                   9,              1.3567,              1.6026,              1.0369,             0.56155,             0.57656,             0.61147,             0.30625,              1.5114,              1.3391,              1.1708,             0.06351,             0.00251,             0.00251
                  10,              1.3082,              1.7617,              1.0929,             0.63153,             0.41648,             0.52859,             0.28811,              1.4539,              1.5314,              1.1425,            0.059597,           0.0025972,           0.0025972
                  11,              1.3739,              1.6123,               1.127,             0.60084,             0.52295,             0.62461,             0.31359,              1.5093,               1.444,              1.1641,            0.055653,           0.0026527,           0.0026527
                  12,              1.2587,              1.3824,              1.1273,             0.66045,             0.45799,             0.64093,             0.32394,              1.5302,               1.458,              1.1826,            0.051676,           0.0026765,           0.0026765
                  13,              1.1755,              1.3925,              1.0629,             0.68641,             0.60476,              0.7199,             0.34532,              1.5596,              1.3588,              1.1669,            0.047669,           0.0026686,           0.0026686
                  14,              1.1011,              1.3798,              1.0692,             0.61652,              0.6254,             0.69333,             0.33553,               1.544,              1.2177,              1.1747,            0.043629,            0.002629,            0.002629
                  15,              1.1984,              1.1701,              1.0649,             0.56836,             0.50879,             0.55585,             0.28846,              1.5206,              1.3672,               1.175,            0.039558,           0.0025578,           0.0025578
                  16,              1.1717,              1.0886,              1.0657,             0.66582,             0.59409,             0.71402,             0.33054,              1.5068,              1.2777,              1.1738,            0.035455,           0.0024549,           0.0024549
                  17,              1.2593,              1.1936,              1.1584,             0.71048,             0.45472,             0.61948,             0.30237,              1.5473,              1.4132,              1.1963,             0.03132,           0.0023203,           0.0023203
                  18,               1.227,               1.431,              1.1454,             0.63475,             0.75158,             0.68282,             0.31074,              1.5466,               1.317,              1.1891,            0.027154,            0.002154,            0.002154
                  19,              1.1856,              1.3074,              1.0756,              0.5823,             0.66512,             0.66489,             0.29548,              1.5664,              1.4328,               1.199,            0.022956,            0.001956,            0.001956
                  20,              1.1592,              1.0775,              1.1322,              0.5517,             0.68791,             0.64664,             0.31781,              1.5576,              1.3381,              1.2024,            0.018726,           0.0017264,           0.0017264
                  21,              1.0761,              1.0126,              1.0281,             0.49542,             0.63319,             0.61892,             0.28999,              1.4975,                1.43,              1.1912,            0.014465,           0.0014651,           0.0014651
                  22,              1.0897,              0.9947,              1.0317,             0.54404,             0.55519,             0.64001,             0.31671,              1.4799,               1.283,              1.1939,            0.010172,           0.0011721,           0.0011721
                  23,              1.0864,              1.0133,              1.0291,             0.46067,             0.59749,             0.63759,             0.31937,              1.5208,              1.3339,              1.2111,           0.0058474,           0.0008474,           0.0008474
                  24,              1.0072,             0.92868,              1.0275,             0.45576,             0.59416,             0.61525,             0.31224,              1.5049,              1.3377,              1.2067,            0.001491,          0.00049104,          0.00049104
